Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,disease,Group,condition
SRR14631766,miRNA-Seq,75,748882575,PRJNA713778,SAMN19317466,278870287,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10971597,GSM5333325,NextSeq 550,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-07T00:00:00Z,2021-05-24T13:19:00Z,1,GSM5333325,Blood plasma,SRP310247,,,Healthy control
SRR14631769,miRNA-Seq,75,575673600,PRJNA713778,SAMN19317463,216774863,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10971600,GSM5333328,NextSeq 550,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-07T00:00:00Z,2021-05-24T13:19:00Z,1,GSM5333328,Blood plasma,SRP310247,,,Healthy control
SRR14631770,miRNA-Seq,75,708636375,PRJNA713778,SAMN19317462,261329862,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10971601,GSM5333329,NextSeq 550,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-07T00:00:00Z,2021-05-24T13:20:00Z,1,GSM5333329,Blood plasma,SRP310247,,,Healthy control
SRR14631771,miRNA-Seq,75,725828175,PRJNA713778,SAMN19317461,269328622,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10971602,GSM5333330,NextSeq 550,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-07T00:00:00Z,2021-05-24T13:20:00Z,1,GSM5333330,Blood plasma,SRP310247,,,Healthy control
SRR14631772,miRNA-Seq,75,1023175575,PRJNA713778,SAMN19317460,379188300,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10971640,GSM5333331,NextSeq 550,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-07T00:00:00Z,2021-05-24T13:21:00Z,1,GSM5333331,Blood plasma,SRP310247,,,Healthy control
SRR14631774,miRNA-Seq,75,693355500,PRJNA713778,SAMN19317458,257290536,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10971642,GSM5333333,NextSeq 550,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-07T00:00:00Z,2021-05-24T13:20:00Z,1,GSM5333333,Blood plasma,SRP310247,,,Healthy control
SRR14631775,miRNA-Seq,75,515719875,PRJNA713778,SAMN19317489,212576030,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10971643,GSM5333334,NextSeq 550,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-07T00:00:00Z,2021-05-24T13:20:00Z,1,GSM5333334,Blood plasma,SRP310247,,,Healthy control
SRR14631777,miRNA-Seq,75,661652475,PRJNA713778,SAMN19317487,273372831,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10971645,GSM5333336,NextSeq 550,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-07T00:00:00Z,2021-05-24T13:20:00Z,1,GSM5333336,Blood plasma,SRP310247,,,Healthy control
SRR14631778,miRNA-Seq,75,613240125,PRJNA713778,SAMN19317486,246260771,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10971646,GSM5333337,NextSeq 550,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-07T00:00:00Z,2021-05-24T13:20:00Z,1,GSM5333337,Blood plasma,SRP310247,,,Healthy control
SRR14631783,miRNA-Seq,75,978646200,PRJNA713778,SAMN19317481,399390805,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10971651,GSM5333342,NextSeq 550,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-07T00:00:00Z,2021-05-24T13:22:00Z,1,GSM5333342,Blood plasma,SRP310247,,,Healthy control
SRR14631784,miRNA-Seq,75,787956975,PRJNA713778,SAMN19317480,309507328,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10971652,GSM5333343,NextSeq 550,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-07T00:00:00Z,2021-05-24T13:21:00Z,1,GSM5333343,Blood plasma,SRP310247,,,Healthy control
SRR14631785,miRNA-Seq,75,663199725,PRJNA713778,SAMN19317479,269962443,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10971653,GSM5333344,NextSeq 550,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-07T00:00:00Z,2021-05-24T13:21:00Z,1,GSM5333344,Blood plasma,SRP310247,,,Healthy control
SRR14631787,miRNA-Seq,75,393846300,PRJNA713778,SAMN19317477,133682248,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10971655,GSM5333346,NextSeq 550,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-07T00:00:00Z,2021-05-24T13:20:00Z,1,GSM5333346,Blood plasma,SRP310247,,,Healthy control
SRR14631788,miRNA-Seq,75,302651550,PRJNA713778,SAMN19317476,101143065,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10971603,GSM5333347,NextSeq 550,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-07T00:00:00Z,2021-05-24T13:20:00Z,1,GSM5333347,Blood plasma,SRP310247,,,Healthy control
SRR14631789,miRNA-Seq,75,362101800,PRJNA713778,SAMN19317475,120015873,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10971604,GSM5333348,NextSeq 550,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-07T00:00:00Z,2021-05-24T13:21:00Z,1,GSM5333348,Blood plasma,SRP310247,,,Healthy control
SRR14631790,miRNA-Seq,75,283785300,PRJNA713778,SAMN19317474,95576313,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10971605,GSM5333349,NextSeq 550,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-07T00:00:00Z,2021-05-24T13:20:00Z,1,GSM5333349,Blood plasma,SRP310247,,,Healthy control
SRR14631791,miRNA-Seq,75,1095454275,PRJNA713778,SAMN19317473,391465471,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10971606,GSM5333350,NextSeq 550,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-07T00:00:00Z,2021-05-24T13:24:00Z,1,GSM5333350,Blood plasma,SRP310247,,,Healthy control
